Word	Conc.M	SUBTLEX
acrimoniously	1.61	0
acrobat	4.46	30
acrobatic	3.14	12
acrobatically	2.96	0
acrobatics	4.3600000000000003	11
acronym	2.64	15
acrophobia	2.3199999999999998	10
across	3.07	4801
acrostically	2	0
acrylic	4.3099999999999996	23
act	2.46	5565
acting	2.54	2675
action	2.86	3115
actionable	2.04	13
activate	2.97	238
activation	2.41	43
activator	3.14	4
active	3.32	584
actively	2.41	42
activeness	2.52	0
activism	1.79	9
activist	3.34	50
activity	2.72	657
actor	4.57	1343
actress	4.54	817
acts	3.29	636
actual	2.2200000000000002	884
actuality	1.96	24
actualization	1.59	3
actualize	1.63	2
actually	1.37	16439
actuarial	2.33	9
acupressure	3.53	6
acupuncture	3.83	37
acupuncturist	4.5599999999999996	9
acute	1.92	150
acutely	1.83	14
acuteness	2.41	1
ad	4.46	694
adage	1.86	32
adamant	1.65	50
adamantly	1.46	2
adapt	2.41	134
adaptability	1.38	7
adaptable	1.85	17
adaptation	2.04	81
adapter	3.82	11
adaption	2.4	1
adaptive	1.97	11
adaptively	2.2999999999999998	0
adaptor	4.04	4
add	3	1686
added	2.74	492
addendum	3.44	15
addict	3.14	273
addicted	2.13	231
addictedness	2.2200000000000002	0
addiction	2.85	199
addictive	2.2200000000000002	57
addictiveness	1.78	2
addition	2.89	395
additional	2.4300000000000002	300
additionally	2.2000000000000002	16
additive	3.56	11
additively	2	0
address	3.89	2666
addressable	2.17	0
addressbook	4.83	0
addressee	3.16	6
addresser	3.19	2
addressor	3.11	0
adept	2.23	33
adeptly	1.54	0
adeptness	1.89	1
adequacy	1.86	1
adequate	1.97	132
adequately	1.72	27
adequateness	1.68	0
adhere	2.62	29
adherence	1.5	9
adherent	2.4500000000000002	3
adherently	2.11	0
adhesion	3.32	6
adhesive	4.3499999999999996	47
adhesively	2.87	0
adhesiveness	3.3	0
adjacent	3.63	68
adjacently	2.97	0
adjectivally	1.52	0
adjective	2.4300000000000002	25
adjoin	2.73	0
adjoined	3.31	1
adjoining	2.93	57
adjourn	2.54	66
adjournment	2.82	11
adjudicate	2.12	5
adjudication	2.35	9
adjunct	2.19	7
adjust	2.93	287
adjustability	2.1	1
adjustable	3.27	16
adjustably	1.9	0
adjuster	3.23	20
adjustment	2.81	158
adjustor	3.43	4
admin	2.96	22
administer	2.5299999999999998	85
administrable	1.62	0
administrate	2.89	2
administration	2.78	387
administrational	2.08	0
administrative	2.14	82
administratively	1.93	0
administrator	3.89	84
admirable	1.81	133
admirableness	1.7	0
admirably	1.5	21
admiral	4.1100000000000003	845
admiralship	2.96	0
admiration	1.86	107
admire	2.04	722
admired	1.84	187
admirer	2.93	151
admiring	1.77	141
admiringly	1.89	0
admissibility	1.65	4
admissible	1.88	37
admissibleness	1.71	0
admissibly	1.72	0
admission	2.83	181
admissive	2.25	0
admit	2.3199999999999998	3019
admittance	2.2599999999999998	34
admitted	1.85	467
admittedly	1.54	47
admitter	2.93	0
admonishingly	1.77	0
admonishment	2.21	0
adobe	4.1900000000000004	24
adolescence	2.81	44
adolescent	3.48	94
adolescently	1.52	0
adopt	2.36	238
adoptability	2.29	0
adoptable	2.79	1
adopted	2.39	430
adoptee	3.59	0
adopter	3.33	1
adoption	3.03	239
adoptive	2	30
adoptively	1.63	0
adorability	1.41	1
adorable	1.86	537
adorableness	2.19	1
adorably	1.96	2
adoration	2.19	30
adore	2.34	394
adorer	2.76	0
adoring	2.34	35
adoringly	2.2799999999999998	3
adorn	2.38	8
adorner	2.96	0
adornment	2.83	4
adrenal	3.28	16
adrenalin	3.17	28
adrenaline	3.04	168
adrift	2.71	51
adult	4.4000000000000004	729
adulterate	2.76	1
adulteration	2.29	0
adulterer	2.96	20
adulteress	3.72	13
adulterous	2.37	17
adulterously	2.12	0
adultery	2.79	99
adulthood	2.5	37
adultlike	2.27	0
adultness	2.19	0
advance	2.57	815
advanced	1.83	451
advancement	2.1	63
advancer	2.48	0
advancing	2.61	76
advantage	2	1125
advantageous	2.0699999999999998	20
advantageously	1.24	0
advantageousness	1.65	0
advent	2.48	24
adventure	2.59	685
adventurer	3.73	37
adventuresome	1.79	3
adventuress	2.54	11
adventurist	2.35	1
adventurous	1.95	62
adventurously	1.7	0
adventurousness	1.62	1
adverb	2.25	10
adversarial	1.62	12
adversary	2.93	77
adverse	2.23	36
adversely	1.62	11
adverseness	1.96	0
adversity	1.44	54
advert	3.08	13
advertently	1.7	1
advertise	2.81	84
advertisement	3.77	61
advertiser	3.93	8
advertising	3.88	379
advertize	3.61	0
advice	2.73	2447
advisability	1.46	0
advisable	1.93	40
advisably	1.54	0
advise	2.0299999999999998	622
advised	2.4500000000000002	267
advisedly	1.58	5
advisee	3.77	13
advisement	2.52	39
adviser	3.67	53
advisor	4.1500000000000004	225
advisory	2.5	51
advocacy	2	15
advocate	2.72	113
advocator	2.92	0
aeration	2.77	1
aerator	3.92	0
aerial	3.04	129
aerialist	3.84	1
aerially	3	0
aerobatics	3.15	1
aerobic	3.14	9
aerobically	2.38	2
aerobics	3.72	79
aerodynamic	2.88	22
aerodynamics	2.96	16
aerographer	4.17	0
aeromechanics	2.96	0
aeronautic	2.54	0
aeronautical	2.96	12
aeronautics	3.08	9
aerosol	4.2300000000000004	14
aerospace	3.19	55
aesthetic	2.33	34
aesthetical	1.71	0
aesthetically	1.48	12
aesthetician	3.31	0
aestheticism	1.79	0
aesthetics	2.2200000000000002	15
afar	2.52	59
affability	1.54	4
affable	1.7	6
affair	2.4500000000000002	1502
affect	1.93	568
affectation	1.96	7
affected	1.93	345
affectedly	1.92	1
affectedness	2	0
affecting	1.75	130
affection	2.2200000000000002	431
affectionate	2.2799999999999998	115
affectionately	1.92	31
affective	1.52	4
affectively	1.73	0
affectivity	1.86	0
affidavit	4	100
