Word	Conc.M	SUBTLEX
consolidated	2.54	36
consolidation	2.79	10
consolidator	2.96	0
consoling	2.41	30
consolingly	1.92	0
consonance	2.2200000000000002	0
consonant	3.21	10
consort	2.67	32
consortium	2.52	35
conspicuous	1.89	75
conspicuously	1.86	3
conspicuousness	2.08	0
conspiracy	1.76	526
conspirator	2.37	11
conspiratorial	1.76	6
conspiratorially	1.46	0
conspire	2.67	31
conspirer	2.93	1
conspiring	2.11	53
conspiringly	1.65	0
constable	4.54	144
constancy	1.83	10
constant	2.04	506
constantly	2.21	450
constellation	4.3099999999999996	48
constestable	1.81	0
constipate	2.86	0
constipated	3.36	44
constipation	3.36	21
constituency	2.56	22
constituent	3.12	6
constitute	2.13	43
constitution	3.23	282
constitutional	1.93	112
constitutionalism	1.71	0
constitutionalist	3.32	0
constitutionality	1.7	6
constitutionally	1.86	10
constrain	2.57	2
constrainable	2.15	0
constrained	2.52	12
constraining	2.46	0
constraint	2.93	2
constrict	3.07	3
constricted	2.79	7
constriction	3	3
constrictive	2.2599999999999998	5
constrictor	3.93	12
constringent	1.58	0
construct	2.6	74
constructer	3.68	0
constructible	3.03	0
construction	3.72	706
constructional	2.33	0
constructionist	2.81	1
constructive	1.9	111
constructively	2	7
constructiveness	1.83	0
constructivism	1.42	0
constructor	3.86	2
construe	1.88	15
consul	3.36	184
consulate	3.6	249
consult	3.04	285
consultable	1.96	0
consultancy	2.04	0
consultant	3.97	187
consultation	2.19	64
consultative	1.96	0
consulting	2.14	146
consumable	2.63	0
consume	3.41	105
consumer	3.57	106
consumerism	2.08	9
consuming	3.33	54
consummate	2.08	50
consummately	1.48	1
consummation	2.96	10
consumption	3.16	94
consumptive	2.0499999999999998	1
consumptively	1.73	0
contact	3.86	3305
contactor	3.37	0
contagion	2.79	21
contagious	2.71	170
contagiously	1.74	1
contagiousness	1.96	0
contain	2.74	310
containable	3.04	4
container	4.8499999999999996	219
containment	3.33	107
contaminant	3.62	3
contaminate	3.1	36
contamination	2.7	60
contaminative	2.29	1
contaminator	3.19	0
contemplate	1.71	63
contemplation	1.83	12
contemplative	1.78	5
contemplatively	1.7	0
contemplativeness	1.65	0
contemplator	2.76	0
contemporarily	1.93	0
contemporariness	1.61	0
contemporary	1.96	99
contemporize	1.85	1
contempt	1.82	256
contemptibility	1.44	0
contemptibly	1.58	1
contemptuous	1.69	12
contemptuously	1.82	3
contemptuousness	1.62	0
contend	2.0699999999999998	48
contender	3	49
contending	1.67	4
content	2.59	389
contented	2.15	39
contentedly	1.96	5
contentedness	1.85	0
contention	1.75	41
contentious	1.78	9
contentiously	1.93	0
contentiousness	1.67	0
contently	1.96	2
contentment	2.25	21
contents	3.65	219
contest	3.52	958
contestable	2.38	1
contestant	4.17	136
contestation	1.68	2
contester	2.92	1
context	2.17	163
contextual	2.1800000000000002	2
contextually	1.88	1
contiguousness	2.2200000000000002	0
continence	2.5	0
continent	4.34	187
continental	2.48	168
continentally	2.4	0
contingence	1.69	0
contingency	2.0299999999999998	78
contingent	2.11	55
contingently	1.52	0
continual	2.2999999999999998	16
continually	1.76	55
continuance	2.12	57
continuation	2.36	24
continuative	2	0
continue	2.36	2527
continued	2.2000000000000002	370
continuingly	2.04	0
continuity	2.0299999999999998	35
continuous	2.11	98
continuously	2.5	50
continuousness	2.19	0
continuum	2.36	77
contort	3.35	5
contorted	2.89	5
contortion	3	4
contortionist	4.33	6
contour	3.24	14
contoured	2.96	4
contraband	3.33	48
contraception	3.29	23
contraceptive	3.89	17
contract	4.1500000000000004	1650
contracted	2.33	94
contractibility	2.21	0
contractible	1.96	0
contraction	3.53	55
contractor	4.2	160
contractual	2	10
contractually	2.2200000000000002	10
contradict	2.2400000000000002	69
contradictable	1.91	0
contradicter	2.2999999999999998	0
contradiction	2.11	75
contradictious	1.83	0
contradictive	1.75	0
contradictor	2.3199999999999998	0
contradictoriness	2.08	0
contradictory	2.31	32
contraption	3.66	75
contrarian	2.19	0
contrarily	1.81	0
contrary	1.56	454
contrast	2.64	107
contrastingly	1.97	0
contrastive	2.12	0
contributable	1.39	1
contribute	2.13	194
contribution	2.41	223
contributive	1.63	0
contributively	1.65	0
contributor	3.6	18
contributory	2.08	3
contrite	2.3199999999999998	11
contritely	1.83	1
contrive	1.96	5
control	1.93	6662
controllability	1.71	0
controllable	1.72	8
controllably	1.9	0
controller	4.33	66
controllership	2.41	0
controversial	1.53	109
controversialist	2.6	0
controversially	1.48	1
controversy	2.29	83
contusion	4.04	36
conundrum	1.93	25
convalesce	2.08	3
convalescent	2.46	17
convection	2.74	4
convectional	2.85	0
convene	2.79	39
convenience	2.04	245
convenient	1.85	436
conveniently	1.67	76
convent	3.96	170
convention	3.28	629
conventional	1.5	155
conventionalism	1.18	0
conventionalist	2.25	0
conventionality	1.96	4
conventionally	1.65	6
converge	2.65	32
convergence	2.2000000000000002	12
convergent	2.08	2
converging	2.59	21
conversable	2.04	1
conversation	3.28	2543
conversational	2.29	27
conversationalist	2.7	23
conversationally	1.77	0
converse	2.85	66
conversely	1.7	8
converser	2.54	0
conversion	2.46	66
convert	2.73	159
converted	2.2000000000000002	132
converter	3.61	11
convertibility	2.21	0
convertible	4.46	166
convertibly	2.0699999999999998	0
converting	2.19	41
convertor	3.85	0
convex	3.33	9
convey	1.72	136
conveyable	2.27	0
conveyance	2.85	11
conveyer	3.89	0
conveyor	4.22	43
convict	4.1100000000000003	324
convictable	2.15	0
conviction	2.0699999999999998	303
convictional	1.79	0
convince	1.85	955
convinced	2.0699999999999998	1061
convincer	2.4	2
convincible	1.78	0
convincing	1.85	353
convincingly	1.65	11
convolute	2.0499999999999998	0
convoluted	1.82	14
convolution	1.82	1
convoy	3.54	181
convulse	3.74	6
convulsion	3.62	10
convulsive	2.92	0
convulsively	2.46	2
convulsiveness	2.59	0
cooing	3.82	24
cook	4.32	2324
cookbook	4.9000000000000004	37
cooker	4.22	34
cookhouse	4.62	1
cookie	5	852
cooking	4.1900000000000004	1307
cookout	4.25	39
cookware	4.84	6
cool	3.53	9990
coolant	4.25	35
cooler	4.1399999999999997	360
coolheaded	2.2599999999999998	0
cooling	3.03	112
coolly	1.86	6
coolness	2.67	18
coonhound	4.29	3
coop	4.46	528
cooperate	1.87	528
cooperation	2.0299999999999998	407
cooperative	2.5	104
cooperator	3.32	1
coordinate	2.36	130
coordination	2.86	60
coordinator	3.52	81
coot	3.09	36
cootie	2.71	9
cop	4.3	4393
copartner	2.96	0
cope	1.78	166
copied	3.15	128
copier	4.72	32
copilot	4.59	54
coping	1.67	53
copious	2.38	9
copiously	1.58	9
copiousness	1.81	0
copout	1.7	1
copper	4.5199999999999996	336
copperhead	4.7300000000000004	7
copperplate	4.3600000000000003	1
coppersmith	4.5	0
copperware	4.6100000000000003	0
coppery	2.96	2
coproduce	2.8	0
copulate	3.13	13
copulation	3.28	8
copy	3.9	2666
copybook	4.67	4
copycat	3.65	44
copyholder	3.68	0
copyist	3.75	6
copyreader	4.08	0
copyright	3.04	31
copyrightable	2.54	0
copyrighter	4.08	0
copywriter	4.07	9
coral	4.4000000000000004	121
coralroot	4.38	0
cord	4.63	358
corded	4.1100000000000003	1
cordial	2.08	62
cordiality	1.44	2
cordially	1.71	19
cordialness	1.65	0
cording	3.67	1
cordless	3.83	20
corduroy	4.5599999999999996	34
core	3.96	501
coreless	2.79	0
cork	4.8600000000000003	146
corkboard	4.92	3
corked	3.59	13
corking	3.88	3
corkscrew	4.8499999999999996	57
corkwood	4.5999999999999996	0
corn	4.96	725
cornball	4.04	20
cornbread	4.79	46
corncob	4.71	11
cornea	4.8600000000000003	16
corneal	3.46	10
corner	4.6100000000000003	2679
cornered	2.66	117
cornerstone	4.04	34
cornfield	4.96	36
cornflake	4.74	0
cornflakes	4.82	25
cornflower	4.71	3
cornhusk	4.83	0
cornhusker	4.57	0
cornmeal	4.83	12
cornrow	4.5199999999999996	2
cornstalk	4.72	2
cornstarch	4.5599999999999996	9
cornucopia	4.1100000000000003	15
corny	2.1800000000000002	202
corona	3.46	58
coronary	3	101
coronation	3.23	107
coroner	4.34	458
corporal	2.8	802
corporality	2.23	0
corporate	2.27	521
corporately	2.17	0
corporation	2.79	393
corporeal	3.19	25
corps	3.43	555
corpse	4.8899999999999997	515
corral	4.54	119
correct	2.59	2292
correctable	2.15	5
corrected	2.41	134
correctible	2.31	0
correcting	2.88	41
correction	3	163
correctional	2.2400000000000002	74
corrective	2.52	26
correctively	1.76	0
correctly	2.0699999999999998	309
correctness	2.36	12
corrector	2.73	0
correlate	1.63	19
correlated	1.9	3
correlation	2.04	29
correlational	1.58	0
correlative	1.75	1
correlatively	1.54	0
correlativeness	1.8	0
correlativity	1.52	0
correspond	2.27	48
correspondence	3.35	115
correspondent	3.44	110
correspondently	1.88	0
corresponding	2.17	29
correspondingly	1.9	1
corridor	4.72	284
corroborate	1.76	56
corroboration	1.92	16
corroborative	2	2
corroboratively	2.12	0
corroborator	3.56	0
corroboratory	1.96	0
corrode	4.04	5
corrodible	2.61	0
corroding	3.1	3
corrosion	4.26	10
corrosive	3.3	19
corrosively	2.4300000000000002	0
corrosiveness	2.65	0
corrugate	3.17	0
corrugated	3.76	10
corrugation	3.32	0
corrupt	2.0299999999999998	271
corrupted	2.14	97
corrupter	2.96	2
corruptibility	1.5	0
corruptible	2.2999999999999998	10
corruptibleness	1.52	0
corrupting	2.21	40
corruption	2.39	218
corruptive	1.79	0
corruptly	1.79	1
corruptness	1.86	1
corruptor	2.4	1
corsage	4.38	48
corset	4.4800000000000004	45
corseted	3.77	1
cortex	3.79	57
cortisone	3.65	29
corvette	4.76	69
cosign	3.44	13
cosigner	3.61	0
cosmetic	2.96	92
cosmetically	2.52	2
cosmetician	4.1500000000000004	3
cosmetics	4.72	98
cosmetologist	4.22	7
cosmetology	3	9
cosmic	2.76	184
cosmically	1.96	9
cosmological	1.77	4
cosmologically	2.11	0
cosmologist	4.18	1
cosmology	2.52	6
cosmonaut	4.46	8
cosmopolitan	2.65	59
cosmopolitanism	1.56	0
cosmos	3.19	153
cosponsor	2.65	1
cost	2.5	2801
costar	3.74	13
costing	2.85	122
costless	2	0
costliness	2.31	0
costly	2.0699999999999998	79
costume	4.57	721
costumed	3.61	9
costumer	4.04	8
costuming	3.08	2
cot	4.67	102
cottage	4.8499999999999996	270
cotton	4.97	723
cottonmouth	3.75	2
cottonseed	4.7	0
cottontail	4.45	9
cottonweed	4.7300000000000004	0
cottonwood	4.33	15
cottony	2.61	3
couch	4.71	1197
couched	2.2999999999999998	2
cougar	4.82	102
cough	4.3600000000000003	448
could	1.34	83109
council	2.73	863
councilman	4.26	72
councilor	3.78	9
councilwoman	4.59	7
counsel	2.48	726
counseling	2.85	211
counselor	4.24	506
count	3	4588
countable	3	10
countdown	3.3	180
counter	4.17	709
counteraccusation	1.85	0
counteract	2.14	24
counteracting	2.2400000000000002	2
counteraction	2.2200000000000002	1
counteractive	2.04	8
counteragent	3.12	1
counterapproach	2.11	0
counterargument	2.17	1
counterattack	2.92	40
counterattraction	2.36	0
counterbalance	2.5499999999999998	11
counterbid	2.46	0
counterblast	2.62	0
counterblow	3.3	0
countercheck	3.12	0
counterclaim	2.4	0
counterclockwise	3.67	22
counterculture	1.97	9
countercurrent	2.44	0
counterdemonstration	3.67	0
counterespionage	2.17	8
counterevidence	2.85	0
counterfeit	3.64	157
counterfeiter	3.96	5
counterforce	2.38	1
counterhypothesis	1.92	0
counterintelligence	2.38	19
counterintuitive	1.76	3
counterirritant	2.68	1
countermeasure	2.93	10
countermotion	2.08	0
countermove	2.59	4
countermovement	2.48	0
counteroffensive	2.39	6
counteroffer	2.85	15
counterpart	2.63	25
counterplea	3.16	0
counterplot	2.8	0
counterpoint	2.38	20
counterproductive	2.36	14
counterproposal	2.5499999999999998	3
counterproposition	2.14	0
counterpunch	3.35	1
counterrevolution	2.2000000000000002	2
counterrevolutionary	2.33	6
countersecurity	1.8	0
countersense	1.78	0
countersign	2.83	8
countersignal	2.76	0
countersignature	3.44	2
counterstatement	2.3199999999999998	0
counterstrike	2.56	4
counterstroke	3.09	0
countersuit	2.11	2
countertendency	1.44	0
counterterrorism	2.0699999999999998	2
counterterrorist	3.07	5
counterturn	3	0
countertype	1.92	0
counterweigh	3.07	0
counterweight	4	8
counterweighted	3.03	2
countess	3.68	314
counting	3.57	1095
countless	1.72	121
country	4.17	8254
countryman	3.66	12
countryside	4.4800000000000004	180
countrywide	2.0699999999999998	0
countrywoman	4.25	5
county	4.04	1722
coup	3	133
coupe	3.17	31
couple	3.93	11394
coupled	3.31	39
coupler	3.6	4
coupling	3.29	26
coupon	4.79	111
courage	1.52	1207
courageous	2	161
courageously	1.76	11
courageousness	1.4	0
courier	4.58	168
course	3.82	24848
coursed	2	2
coursework	3.96	0
coursing	1.96	24
court	4.3099999999999996	5137
courteous	1.97	62
courteously	2.38	3
courteousness	1.83	0
courtesy	1.77	414
courthouse	4.8600000000000003	225
courtier	3.45	3
courtliness	1.82	0
courtly	1.64	9
courtroom	4.63	427
courtship	2.52	59
courtside	3.65	40
courtyard	4.57	109
cousin	3.7	2491
cousinhood	2.25	1
cousinship	2.08	0
couture	2.64	16
cove	4.57	166
coven	3.68	30
covenant	2.69	341
cover	4.2300000000000004	4808
coverage	2.7	318
coverall	4.3600000000000003	3
coveralls	4.7300000000000004	9
covered	3.41	1612
covering	3.46	634
coverless	2.79	1
covert	1.72	148
covertly	1.74	18
covertness	1.87	0
covet	1.93	48
covetable	1.81	0
coveted	1.89	39
coveting	2.36	15
cow	4.96	1301
coward	2.93	734
cowardice	2.1	91
cowardliness	2.04	0
cowardly	1.96	118
cowbell	4.8	10
cowboy	4.72	968
cowcatcher	4.33	0
cower	2.88	16
cowfish	4.1900000000000004	0
cowgirl	4.63	60
cowhand	4.29	21
cowhide	4.76	7
cowl	3.96	5
cowlick	4.04	4
cowlicks	4.5199999999999996	0
coworker	4.28	34
cowpoke	4.6500000000000004	2
cowpox	4.18	6
cowskin	4.8099999999999996	1
coy	1.89	88
coyly	1.92	3
coyness	2.04	2
coyote	4.96	185
cozier	2.38	8
cozily	2.31	1
coziness	2.52	0
cozy	2.61	288
crab	4.9000000000000004	352
crabber	3.09	2
crabbiness	2.04	2
crabbing	3	9
crabby	2.12	47
crabgrass	4.5199999999999996	6
crablike	2.97	0
crabmeat	4.8099999999999996	9
crack	4.53	1675
crackbrained	2.2000000000000002	2
crackdown	2.83	10
cracked	3.93	492
cracker	4.96	294
crackerjack	3.73	25
crackers	4.93	289
cracking	3.8	303
crackle	3.46	35
crackled	3.39	1
crackling	3.67	71
crackly	3.69	2
crackpot	3.26	49
crackup	2.96	7
cradle	4.93	145
cradler	3.16	0
cradling	3.9	8
craft	3.48	289
crafter	3.42	1
craftily	2.14	1
craftiness	2.4500000000000002	0
craftsman	4	47
craftsmanship	2.64	32
craftsperson	4.17	0
craftswoman	3.83	0
craftwork	3.39	0
crafty	2.4500000000000002	53
craggy	3.13	2
cram	2.71	77
crammer	3.12	0
cramp	4.09	143
cramped	3	73
cramping	3.89	45
cranberry	4.96	99
crane	4.68	1714
cranial	3.5	39
craniologist	3.84	0
cranium	4.5	40
crank	4.5	272
cranked	3.07	27
crankily	1.96	0
crankiness	1.9	5
crankshaft	4.7300000000000004	6
cranky	2.15	171
crap	3.67	3151
crappy	1.67	253
craps	3.48	155
crapshoot	2	0
crash	3.79	1461
crasher	3.28	14
crate	4.93	209
crateful	3.58	1
crater	4.6100000000000003	132
cratered	3.26	0
craterless	3.04	0
craterlike	3.18	0
crave	2.52	106
craver	2.84	0
craving	2.0699999999999998	109
cravingly	1.46	0
crawfish	5	13
crawl	4.2699999999999996	614
crawler	4	16
crawlers	4.12	10
crawling	4.47	462
crawlspace	4.96	13
crawly	2.83	6
crayfish	4.93	2
crayon	4.87	21
craze	2.04	52
crazed	2.33	107
crazily	1.85	5
craziness	2.36	64
crazy	2.37	13886
creak	3.61	26
creakily	2.48	0
creakiness	2.7	0
creaking	3.36	142
creakingly	2.04	0
creaky	4.07	12
cream	4.83	2484
creamed	3	82
creamer	4.66	36
creamery	4.03	6
creamily	2.2599999999999998	0
creaminess	3.19	0
creamlike	3.21	0
creamy	3.62	60
crease	4.45	69
creaseless	3.82	0
creaseproof	3.35	0
creasing	3.61	0
creatable	2.04	0
create	2.62	1289
creation	2.15	310
creational	1.72	0
creationism	1.69	16
creationist	2.46	2
creationistic	1.56	0
creative	1.93	548
creatively	2	24
creativeness	2.04	0
creativity	1.8	96
creator	3.07	142
creatorship	2.58	0
creature	4.07	1092
credence	1.92	21
credential	2.88	5
credentials	3.43	166
credibility	2.29	163
credible	1.72	84
credibleness	1.52	0
credibly	1.41	4
credit	2.71	2337
creditability	1.68	0
creditable	2.44	5
creditably	2.0499999999999998	0
creditcard	4.8899999999999997	0
creditor	3.37	7
creditworthy	1.88	0
credulously	1.5	0
creed	2.1	129
creek	4.87	454
creep	3.38	573
creeper	3.48	37
creepers	3.21	11
creepiness	1.61	0
creeping	3.04	140
creepy	2.33	568
cremate	4.0999999999999996	19
cremation	3.69	41
cremationist	3.38	0
cremator	4.1900000000000004	1
crematorium	4.43	19
crematory	4.5599999999999996	14
creole	3.7	55
crepe	4.5	42
crept	2.93	58
crescendo	3.04	25
crescent	4.04	72
crest	4.5199999999999996	107
crested	3.15	5
crestfallen	2.27	6
cresting	3.03	1
crestless	2.78	0
cretaceous	2.5	12
cretin	3.45	51
crevasse	4.6900000000000004	3
crevice	4.43	21
creviced	3.18	1
crew	4.3600000000000003	2424
crewless	2.86	0
crewman	4.3899999999999997	50
crewmate	4.38	0
crewmember	4.5	0
crib	4.8600000000000003	316
cribbage	3.58	13
cricket	4.7699999999999996	144
cried	3.93	662
crier	3.58	17
crime	3.03	3633
crimeless	1.96	0
crimelessness	1.96	0
criminal	3.48	1758
criminalist	2.92	7
criminality	1.87	6
criminalize	2.21	8
criminally	1.86	37
criminological	2	3
criminologist	3.6	5
criminology	2.83	15
crimp	4	22
crimper	3.76	0
crimping	3.71	3
crimson	4	67
cringe	3.34	23
cringing	2.82	10
cringingly	2.23	0
crinkle	3.7	10
crinkly	3.23	4
cripple	3.78	194
crippled	3.59	210
crippling	2.77	37
crises	2.11	27
crisis	2.33	849
crisp	3.69	161
crisped	3.58	0
crisper	3.85	9
crispiness	3.36	1
crisping	2.85	1
crisply	2.92	1
crispness	3.58	2
crisps	4.04	13
crispy	4.04	116
crisscross	3.77	9
criteria	2.5	91
critic	3.55	192
critical	2.14	625
critically	1.93	36
criticalness	1.88	0
criticism	2.0699999999999998	155
criticize	2.0299999999999998	110
criticizer	3.04	0
critique	2.5499999999999998	25
critter	4.1900000000000004	65
croak	3.82	59
croaker	3.57	18
crochet	4.6500000000000004	8
crocheting	4.33	5
crock	3.56	103
crockery	3.08	5
crocodile	4.83	115
croissant	4.96	45
crook	3.79	289
crooked	3.79	290
crookedly	2.93	0
crookedness	3.44	2
croon	3.19	12
crooner	3.48	14
crooning	3.12	9
crop	4.24	248
cropland	4.41	0
croquet	4.59	44
croquette	4.24	2
cross	4.4400000000000004	2807
crossable	2.56	0
crossbar	4.57	5
crossbeam	4.82	2
crossbones	4.07	5
crossbow	4.7699999999999996	56
crossbowman	4.2	0
crossbred	2.2200000000000002	0
crossbreed	3.04	2
crosscheck	2.89	4
crosscurrent	2.7	1
crosscut	3.63	6
crosscutting	3.78	1
crossed	3.45	874
crossfire	3.38	46
crosshair	4.3	0
crossing	3.42	444
crossly	1.92	3
crossness	1.78	1
crossover	2.65	20
crosspiece	3.69	0
crossroad	4.41	9
crossroads	4.67	109
crosstalk	2.92	0
crosswalk	4.62	21
crossway	3.77	1
crossways	3.67	3
crosswind	3.61	7
crossword	4.4800000000000004	89
crotch	4.7699999999999996	140
crotched	3.21	0
crotchet	4.12	2
crotchety	2.08	13
crouch	4.2699999999999996	38
crouched	3.48	12
crouching	4.03	26
crouton	4.9000000000000004	13
crow	4.93	227
crowbar	4.87	66
crowd	4.5199999999999996	1906
crowded	3.28	456
crowdedly	2.35	0
crowdedness	2.89	0
crowdsourcing	2.46	0
crowing	3.33	15
crown	4.8099999999999996	698
crowned	3.67	88
crownless	2.84	0
crownwork	3.29	0
crucial	2.08	234
crucially	1.76	2
crucible	3.48	9
crucified	3.04	79
crucifier	3.15	0
crucifix	4.45	60
crucifixion	4	38
crucify	3.45	111
crud	3.46	52
cruddy	2.46	15
crude	1.96	155
crudely	2.4300000000000002	9
crudeness	1.85	2
cruel	2.11	936
cruelly	1.7	24
cruelness	2.1800000000000002	0
cruelty	2.04	166
cruise	4.03	626
cruisecontrol	3.81	0
cruiser	3.78	162
crumb	4.8	92
crumble	4.04	71
crumbliness	3.25	0
crumbly	3.19	6
crummier	2.08	0
crummiest	1.79	3
crummy	2.57	171
crumpet	4.8099999999999996	17
crumple	3.88	8
crumpled	3.97	27
crumpling	3.96	0
crumply	3.35	0
crunch	3.36	179
crunchable	2.68	2
cruncher	3.31	4
crunchiness	2.97	1
crunching	4	48
crunchy	3.81	48
crusade	2.78	194
crusader	3.63	57
crush	3.9	857
crushability	2.48	0
crushable	2.73	0
crushed	4.21	431
crusher	4	56
crushing	3.71	139
crushingly	2.46	1
crust	4.59	166
crustacean	4.66	12
crustaceous	3.48	2
crusted	3.56	10
crustiness	3.83	0
crusty	4.1399999999999997	54
crutch	4.5	67
crutched	2.48	0
crux	2.69	15
cry	4	3348
crybaby	3.29	67
crying	4.4800000000000004	2709
cryogenic	2.33	17
cryogenics	3.7	9
crypt	4.75	70
cryptic	2.36	53
cryptically	1.67	0
cryptogenic	2.42	1
cryptogram	3.92	1
cryptograph	4.12	1
cryptographer	3.61	2
cryptographic	2.91	0
cryptographist	3.87	0
cryptography	3.54	11
cryptologist	4.1399999999999997	1
cryptology	3.08	2
crystal	4.58	823
crystalline	3.16	16
crystallization	3.46	7
crystallize	3.63	4
crystallized	3.84	19
crystallizer	2.87	0
crystalloid	3.77	2
cub	4.67	107
cubby	3.77	40
cubbyhole	4.1900000000000004	5
cube	4.62	152
cubic	2.97	44
cubical	4.21	1
cubically	2.9	0
cubicle	4.83	131
cubism	2.92	6
cubistic	2.39	1
cuckoo	4.42	151
cucumber	4.83	101
cuddle	3.83	110
cuddlesome	2.78	0
cuddly	2.93	71
cue	3.31	397
cuff	4.6100000000000003	291
cufflink	4.8600000000000003	5
cuisine	3.7	99
culinary	2.96	61
culminate	2.0299999999999998	6
culmination	1.96	21
culpability	2	6
culpable	1.61	10
culpably	1.35	0
culprit	3.39	55
cult	2.71	227
cultish	1.73	1
cultism	1.75	0
cultist	2.88	0
cultivatable	2.56	0
cultivate	3.14	48
cultivated	2.65	31
cultivation	3.13	8
cultivator	3.79	5
cultural	2.1	202
culturally	1.79	31
culture	2.04	711
cultured	2.2000000000000002	49
cultureless	1.62	3
culturist	2.64	0
culvert	3.67	19
cum	4.3099999999999996	104
cumbersome	2.5	15
cumbersomely	1.73	0
cumbersomeness	2.27	0
cumin	4.93	16
cummerbund	4.04	8
cumulate	2.65	0
cumulative	2.29	11
cumulatively	1.92	0
cumulativeness	1.52	0
cumulus	3.56	15
cunnilingus	3.7	11
cunning	2.12	207
cunningly	1.7	11
cunningness	1.6	1
cunt	4.21	350
cup	5	2634
cupbearer	4.07	0
cupboard	4.79	127
cupcake	5	167
cupful	4.04	1
cupid	3.56	128
cupped	3.48	5
cupping	3.74	9
curability	2	0
curable	2.5299999999999998	13
curate	2.42	5
curative	1.7	11
curator	3.81	47
curb	4.68	209
curbing	2.76	6
curbside	4.17	7
curbstone	4.16	3
curd	4.1900000000000004	22
curdle	3.65	9
curdled	3.85	8
cure	2.41	1063
cureless	2	1
curer	2.67	0
curfew	2.73	234
curing	2.64	48
curiosity	1.61	435
curious	1.75	1337
curiously	1.57	35
curiousness	1.78	0
curl	4.38	120
curled	3.67	47
curler	4.13	5
curliness	3.29	0
curling	4.04	49
curly	4.41	294
currant	3.74	2
currency	4.25	186
current	3.16	869
currently	2.14	351
curricular	2.77	3
curriculum	3.23	70
curried	3.19	3
curry	4.84	124
curse	2.39	929
cursed	1.96	377
cursedly	1.7	0
curser	4.21	0
cursive	3.96	4
cursor	4.33	3
cursory	2.12	15
curt	2.35	136
curtail	2.76	6
curtailed	2.65	4
curtailment	2.2000000000000002	1
curtain	4.82	525
curtly	2.48	0
curtness	2.23	0
curtsy	4.18	29
curvaceous	3.37	6
curvature	2.93	12
curve	4.41	235
curveball	4.26	17
curved	3.35	31
curvedness	3.12	0
curvy	3.33	10
cushion	4.68	110
cushioned	3.79	5
cushiony	3.15	0
cushy	2.34	36
cusp	2.74	14
cuss	3.14	54
cussed	3.31	8
custard	4.8499999999999996	64
custodial	2.12	20
custodian	4.6399999999999997	49
custodianship	2.41	2
custody	3.03	982
custom	2.68	316
customarily	1.58	3
customariness	1.39	0
customary	1.85	111
customer	3.82	775
customize	2.93	4
customized	2.81	31
customizer	2.69	1
customs	2.82	326
cut	4.55	11718
cutaway	2.88	4
cutback	2.88	17
cute	2.76	4475
cutely	2.1800000000000002	0
cuteness	2.59	18
cutesy	2.09	14
cuticle	4.9400000000000004	19
cutie	2.89	147
cutlass	4.2	26
cutlery	4.75	18
cutlet	4.5199999999999996	18
cutoff	3.62	30
cutout	3.81	15
cutter	4.07	239
cutthroat	2.5499999999999998	42
cutting	4.1100000000000003	1126
cuttingly	1.81	0
cuttlefish	4.2300000000000004	10
cyan	4.04	9
cyanide	4.32	92
cyberbullying	2.85	0
cybernetic	2.65	17
cybersex	3.21	7
cyberspace	2.54	24
cyborg	3.88	30
cycle	3.64	300
cyclic	2.7	9
cyclical	2.25	8
cyclically	2.61	0
cycling	4.24	20
cyclist	4.84	5
cyclone	4.4800000000000004	24
cyclonic	2.82	0
cylinder	4.6399999999999997	80
cylindrical	3.54	8
cylindrically	3.38	0
cymbal	4.92	13
cymbalist	4.3	0
cymbals	4.88	24
cynic	2.64	56
cynical	1.64	187
cynically	1.53	6
cynicism	1.78	46
cypress	4.76	38
cyst	4.2300000000000004	22
cytoplasm	3.64	4
cytoplast	3.65	0
czar	4.1399999999999997	35
dab	3.6	57
dabble	2.17	29
dabbler	2.68	1
dabbling	2.04	14
dachshund	4.67	18
dad	4.29	25870
daddy	4.24	9439
daffodil	4.96	10
daft	2.42	68
dagger	4.96	251
daggered	2.92	1
daggers	4.72	61
daily	3.15	797
daintily	2.75	3
daintiness	1.92	3
dainty	2.33	61
daiquiri	4.62	41
dairy	4.45	142
dairymaid	4.3499999999999996	0
dairyman	4.7	0
dairywoman	4.3600000000000003	0
daisy	5	689
dally	2.39	39
dallying	2.04	2
dalmatian	4.8099999999999996	37
dam	4.88	293
damage	3.2	1686
damageability	2.58	0
damageable	2.72	0
damages	3.12	203
damagingly	1.83	0
dame	3.73	702
damn	2	14460
damnable	1.88	15
damnably	1.6	3
damnation	1.56	67
damned	1.8	898
damningly	2	0
damp	3.81	149
damped	3.16	0
dampen	3.25	16
damper	3.13	43
damping	2.92	8
damply	3	0
dampness	4.1500000000000004	7
damsel	3.88	45
dance	4.32	7550
danceable	2.4	4
dancefloor	4.97	0
dancehall	4.3	0
dancer	4.75	831
dancing	4.3	2774
dancingly	2.67	0
dandelion	5	15
dander	4	15
dandily	1.82	0
dandruff	4.79	41
dandy	2.73	224
danger	2.68	2227
dangerous	2.13	3817
dangerously	2.2400000000000002	83
dangerousness	2.08	1
dangle	3.36	68
dangler	3.25	14
dangling	3.52	66
dankness	2.84	0
dapper	2.68	28
dare	2.2799999999999998	2826
daredevil	3.76	33
daredevilry	2.41	0
darer	3.38	1
dares	2.16	123
daresay	1.93	25
daring	1.71	214
daringly	1.8	3
daringness	1.79	0
dark	4.29	4519
darken	3.3	20
darkened	3.48	40
darkener	2.96	0
